proposed_rule_id,trigger_type,trigger_values,source_sheet,source_row,izhodisce,Iscete,SteMislili,Npr,Vslo,Link,review_note,owner_flag,status
paronym_anodo,lemma,anodo | anod,Abecedno,12,anod(o),anodo,anoda,,,,,,
paronym_biti_sredi_med_ljudmi,lemma,biti sredi med ljudmi,Abecedno,18,biti sredi med ljudmi,stare in mezzo alla gente,biti med ljudmi,Rad sem med ljudmi in uživam v družbi.,/,,,,
paronym_brez_drugega,lemma,brez drugega,Abecedno,19,brez drugega,senz'altro,"seveda, vsekakor, v vsakem primeru, zagotovo",To bom zagotovo končal do jutri.,"Besedna zveza brez drugega (pogovorno tudi brez druzga) je kalk italijanske besedne zveze 'senz'altro'. Govorcem in govorkam, ki ne znajo italijansko, pomen te besedne zveze ni jasen.",https://viri.cjvt.si/sopomenke/slv/headword/46132,,,
paronym_zadnja_pisarna,lemma,zadnja pisarna,Abecedno,21,zadnja pisarna,"back office, retrosportello",(službe za) zaledno delo,,,,,ZKB,
paronym_čelna_pisarna,lemma,čelna pisarna,Abecedno,22,čelna pisarna,"front office, sportello",(službe za) delo s strankami,,,,,ZKB,
paronym_današnjica,lemma,današnjica,Abecedno,23,današnjica,?,dandanašnji/danes,,,,,,
paronym_dati_staviti_se_na_kolena,lemma,dati se na kolena | staviti se na kolena,Abecedno,24,dati/staviti se na kolena,,,,,,,,
paronym_delo_na_zahtevo,lemma,delo na zahtevo,Abecedno,29,delo na zahtevo,lavoro a chiamata,"občasno, priložnostno, sezonsko delo",Veliko študentov se odloči za sezonsko / priložnostno / občasno delo med poletnimi počitnicami.,"Besedna zveza delo na zahtevo v slovenščini ni termin. Govorcem in govorkam, ki ne znajo italijansko, pomen te besedne zveze ni jasen.",,"moram preverit, kaj pravi slo zakonodaja",,
paronym_dobro_delo,lemma,dobro delo,Abecedno,31,dobro delo,buon lavoro!,srečno! uspešno delo (vam želim)!,Morate napisati seminarsko nalogo? Srečno!,"Samostalniška besedna zveza dobro delo se ne uporablja kot vzklik, voščilo; označuje zgolj vrsto ali kakovost dela.",,"preveriti, če Loris to že pozna, sicer gre noter",,
paronym_dobrobit,lemma,dobrobit,Abecedno,32,dobrobit,,dobro,,,,,,
paronym_doktoriranje,lemma,doktoriranje,Abecedno,34,doktoriranje,,doktorat,,,,"preveriti, če Loris to že pozna, sicer gre noter",,
